,name
2222,Lenny Pintor
2224,Duje Caleta-Car
2228,Jean-Eudes Aholou
2230,Pelé
2231,Ronaël Pierre-Gabriel
2236,Junior Sambia
2237,Facundo Píriz
2238,Anthony Limbombe
2239,Lucas Evangelista
2246,Kylian Mbappé
2248,Juan Bernat
2252,Jordan Siebatcheu
2257,Stefan Mitrovic
2260,Firmin Mubele
2265,Elhadji Pape Diaw
2271,Cesc Fàbregas
2272,Lyle Foster
2273,Mathías Suárez
2275,Gen Shoji
2281,Kasim Adams
2287,Matheus Cunha
2288,Marcelo Saracchi
2289,Pablo Maffeo
2290,Nicolás González
2294,Evan N'Dicka
2295,Lucas Torró
2296,Gonçalo Paciência
2297,Frederik Rönnow
2298,Ante Rebic
2299,Chico Geraldes
2306,Yuya Osako
2309,Nuri Sahin
2311,Jan-Niklas Beste
2313,Genki Haraguchi
2317,Aarón Martín
2329,Yuya Kubo
2333,Lucas Ribeiro
2334,Leonardo Balerdi
2338,Ozan Kabak
2340,Tuta
2346,Éder Militão
2347,João Pedro
2349,Yordan Osorio
2350,Rafa Soares
2351,Raphinha
2354,Nicolás Castillo
2355,Germán Conti
2356,Alfa Semedo
2357,Odysseas Vlachodimos
2358,Chiquinho
2359,Bruno Viana
2360,João Novais
2361,Murilo de Souza
2362,João Carlos Teixeira
2363,Davidson
2364,Alexandre Guedes
2365,Marcão
2367,Aleksandar Palocevic
2368,Fernando Andrade
2370,Cristian Borja
2371,Luiz Phellype
2372,Rochinha
2374,Aylton Boa Morte
2375,Costinha
2376,Steven Petkov
2378,Sardor Rashidov
2379,Björn Johnsen
2380,Albert Gudmundsson
2384,Dusan Tadic
2385,Hassane Bandé
2387,Luis Sinisterra
2389,Ritsu Doan
2392,Rodney Kongolo
2400,Érick Gutiérrez
2401,Angeliño
2402,Ryan Thomas
2406,Hilary Gong
2407,Matus Bero
2418,Matteo Salvi
2419,Lukasz Skorupski
2421,Federico Santander
2423,Felipe Avenatti
2428,Strahinja Tanasijevic
2431,Samuel Mraz
2432,Jacob Rasmussen
2436,David Hancko
2437,Christian Nörgaard
2438,Dusan Vlahovic
2440,Joel Campbell
2447,Krzysztof Piatek
2448,Cristian Romero
2449,Claudio Spinelli
2450,Sandro
2453,Lautaro Martínez
2456,Cristiano Ronaldo
2462,Fabián Ruiz
2463,Carlos Vinícius
2464,Fabio Ceravolo
2465,Leo Stulac
